：	;_
嘟囔	dunh
嘟哝	duns
肚腩	dunj
多少年	dunm
多少年前	dunq
多少年来	dunl
迪士尼	duni
毒品	dupb
肚皮	dupi
赌牌	dupd
读书破万卷	dupj
打水漂	dupn
大事铺张	dupv
赌气	duqi
赌钱	duqm
赌球	duqq
读取	duqu_
多少人	dur_
当事人	durf
度日	duri
低收入	duru
堵塞	duse
堵死	dusi_
大势所趋	dusq
大杀四方	dusf
毒素	dusu_
大失所望	dusw
独特	dute
独体	duti
赌徒	dutu
肚痛	duts
独吞	duty
电视台	dutd
大赦天下	dutx
毒杀	duua
毒蛇	duue
独身	duuf
独生	duug
都市	duui
读书	duuu
毒手	duuz
读硕	duuo
多少时间	duuj
董事长	duvh
赌债	duvd
读者	duve_
渎职	duvi
独占	duvj
赌桌	duvo
多事之秋	duvq
杜撰	duvr
赌注	duvu
赌咒	duvz
读完	duwj
赌窝	duwo
读物	duwu
但说无妨	duwf
多说无益	duwy
道是无晴却有晴	duwq
读写	duxp_
毒性	duxk
笃信	duxb
独享	duxl
毒枭	duxn
独显	duxm
低声下气	duxq
低声细语	duxy
毒牙	duya
读音	duyb
毒药	duyc
毒液	duye
读研	duyj
独院	duyr
多少有点	duyd
多少有些	duyx
大势已去	duyq
独树一帜	duyv
独有	duyz
肚子	duzi_
独尊	duzy
嘟嘴	duzv
独生子女	duzn
东山再起	duzq
独奏	duzz
对岸	dvan
独占鳌头	dvat
斗志昂扬	dvay
对吧	dvba
对白	dvbd
对比	dvbi
对半	dvbj
对标	dvbn
党支部	dvbu
对此	dvci
对策	dvce
对错	dvco
都知道	dvd_
对的	dvde
对答	dvda
大智大慧	dvdh
对待	dvdd
对等	dvdg
对敌	dvdi
动辄得咎	dvdj
对调	dvdn
堆叠	dvdp
斗智斗勇	dvdy
对方	dvfh
对付	dvfu
大政方针	dvfv
洞中方一日	dvfr
对着干	dvg_
对歌	dvge
对公	dvgs
大众化	dvh_
对号	dvhc
兑换	dvhr
大展宏图	dvht
对话	dvhx
打招呼	dvhu
地中海	dvhd
对称	dvif
堆成	dvig
对冲	dvis
对唱	dvih
堆积	dvji
兑奖	dvjl
对角	dvjn
对接	dvjp
对决	dvjt
对劲	dvjb
对局	dvju
对家	dvjx
党政机关	dvjg
大智近妖	dvjy
对抗	dvkh
对开	dvkd
对口	dvkz
对了	dvle
对立	dvli
对联	dvlm
队列	dvlp
对流	dvlq
对路	dvlu
对垒	dvlw
打肿脸充胖子	dvlz
对面	dvmm
对吗	dvma
对门	dvmf
堆满	dvmj
对内	dvnw
淡妆浓抹	dvnm
淡妆浓抹总相宜	dvny
对哦	dvoo
对偶	dvou
等着瞧	dvq_
大张旗鼓	dvqg
对齐	dvqi
兑取	dvqu
大展拳脚	dvqj_
断章取义	dvqy
对人	dvrf
大智若愚	dvry
对私	dvsi
道之所存	dvsc
大战三百回合	dvsh
对头	dvtz
对视	dvui
对数	dvuu
对谁	dvuw
斗折蛇行	dvux
对手	dvuz
大致说来	dvul
对照	dvvc
对着	dvve
对阵	dvvf
对症	dvvg
队长	dvvh_
对峙	dvvi
对战	dvvj
对转	dvvr
对准	dvvy_
对撞	dvvl_
队伍	dvwu
对外	dvwd
敌众我寡	dvwg
当之无愧	dvwk
得之我幸	dvwx
大中型	dvx_
大闸蟹	dvxp
胆战心惊	dvxj
队形	dvxk
对象	dvxl
兑现	dvxm
东征西讨	dvxt
东张西望	dvxw
对虾	dvxx
对症下药	dvxy_
党中央	dvyh
对呀	dvya
对饮	dvyb
对弈	dvyi
对眼	dvyj
对应	dvyk
动之以情	dvyq
队员	dvyr
对于	dvyu
大专院校	dvyx
队友	dvyz
对子	dvzi
大为不同	dwbt
大为不满	dwbm
断无此理	dwcl
独往独来	dwdl
对我而言	dwey
达斡尔族	dwez
大为光火	dwgh
端午节	dwj_
帝王将相	dwjx
读万卷书	dwju
吊胃口	dwk_
得亏	dwkv
对外开放	dwkf
跌无可跌	dwkd
睹物思人	dwsr
党委书记	dwuj
当务之急	dwvj
弹丸之地	dwvd
挡我者死	dwvs
大无畏	dww_
弹无虚发	dwxf
动物园	dwy_
得有	dwyz
都忘了	dwl_
对我来说	dwlu
当我没说	dwmu
敌我矛盾	dwmd
对外贸易	dwmy
大为恼火	dwnh
店小二	dxe_
东向而望，不见西墙	dxeq
掉下来	dxl_
低效率	dxlv
倒吸了一口凉气	dxlq
大小写	dxx_
带薪休假	dxxj
大猩猩	dxxk
东想西想	dxxx
大兴安岭	dxal
大小便	dxb_
打小报告	dxbg
大学毕业	dxby
多行不义必自毙	dxbb
大卸八块	dxbk
大刑伺候	dxch
单行道	dxd_
多谢多谢	dxdx
大喜大悲	dxdb
涤瑕荡秽	dxdh
东西方	dxf_
断线风筝	dxfv
大雪纷飞	dxff
胆小鬼	dxg_
大喜过望	dxgw
单膝跪地	dxgd
灯下黑	dxh_
旦夕祸福	dxhf
大小姐	dxj_
电信局	dxju
短小精悍	dxjh
妒贤嫉能	dxjn
大相径庭	dxjt
大限将至	dxjv
大熊猫	dxm_
刀削面	dxmm
道消魔长	dxmv
倒行逆施	dxnu
东西南北	dxnb
胆小怕事	dxpu
大行其道	dxqd
灯芯绒	dxr_
胆小如鼠	dxru
动心忍性	dxrx
单相思	dxs_
打小算盘	dxsp
大写锁定	dxsd
低血糖	dxt_
大兴土木	dxtm
大学生	dxu_
地下室	dxui
打下手	dxuz
大显神通	dxut
大显身手	dxuu
等闲视之	dxuv
等闲之辈	dxvb
旦夕之间	dxvj
断袖之癖	dxvp
定心丸	dxw_
大象无形	dxwx
大西洋	dxy_
低血压	dxya
得心应手	dxyu
打心眼里	dxyl
倒吸一口凉气	dxyq
东乡族	dxz_
到现在为止	dxzv
大学城	dxi_
大学期间	dxqj
掉下去	dxq_
独行其是	dxqu
大学校园	dxxy
大型企业	dxqy
第一遍	dyb_
第一步	dybu
第一波	dybo
蹲班	dybj
大洋彼岸	dyba
大言不惭	dybc
倒也罢了	dybl
东亚病夫	dybf
大有不同	dybt
多有不便	dybb
第一次	dyc_
断垣残壁	dycb
炖菜	dycd
顿挫	dyco
敦促	dycu
大摇大摆	dydb
蹲点	dydm
大鱼大肉	dydr
大眼瞪小眼	dydy
多有得罪	dydz
独一份	dyf_
蹲伏	dyfu
第一反应	dyfy
打预防针	dyfv
第一夫人	dyfr
第一个	dyg_
顿感	dygj
第一个月	dygy
第一个星期	dygq
东一个西一个	dygg
党员干部	dygb
等一会	dyhv
顿号	dyhc
敦煌	dyhl
敦厚	dyhz
钝化	dyhx
等一会儿	dyhe
打圆场	dyi_
大鱼吃小鱼	dyiy
打印机	dyji
独一家	dyjx
答疑解惑	dyjh
钝角	dyjn
顿觉	dyjt
东一句西一句	dyjj
第一件事	dyju
第一季度	dyjd
第一课	dyke
蹲坑	dykg
大有可为	dykw
倒要看看	dykk
等于零	dyl_
第一轮	dyly
第一缕	dylv
打赢了	dyle
东一榔头西一棒	dylb
大义凛然	dylr
独眼龙	dyls
东一榔头西一棒子	dylz
第一名	dym_
电影明星	dymx
大义灭亲	dymq
得意门生	dymu
第一年	dyn_
单眼皮	dypi
盾牌	dypd
大雨滂沱	dypt
大雨瓢泼	dypp
大有裨益	dyby
掉以轻心	dyqx
大异其趣	dyqq
大雨倾盆	dyqp
低吟浅唱	dyqi
打一枪换个地方	dyqf
代言人	dyr_
但愿如此	dyrc
顿然	dyrj
大有人在	dyrz
第一人称	dyri
大雨如注	dyrv
第一天	dytm
第一条	dytn
炖汤	dyth
钓鱼台	dytd
第一桶金	dytj
当一天和尚撞一天钟	dytv
倒也是	dyu_
顿生	dyug
顿时	dyui
蹲守	dyuz
第一时间	dyuj
德艺双馨	dyux
第一生产力	dyul
多一事不如少一事	dyuu
大意失荆州	dyuv
大洋洲	dyv_
第一种	dyvs
倒玉柱	dyvu
蹲着	dyve
地缘政治	dyvv
大雅之堂	dyvt
得意之作	dyvz
第一志愿	dyvy
独一无二	dywe
顿悟	dywu
吨位	dyww
得意忘形	dywx
大有文章	dywv
地狱无门闯进来	dywl
得鱼忘筌	dywq
得意忘言	dywy
等一下	dyx_
东摇西摆	dyxb
遁形	dyxk
蹲下	dyxx
多一些	dyxp
大音希声	dyxu
第一现场	dyxi
得益于	dyy_
都一样	dyyh
第一页	dyye
第一眼	dyyj
第一印象	dyyx
盗亦有道	dyyd
大隐隐于市	dyyu
电影院	dyyr
得意洋洋	dyyy
第一乐章	dyyv
多音字	dyzi
顿足	dyzu
大有作为	dyzw
都比	dzbi
豆瓣	dzbj_
豆包	dzbc
陡变	dzbm
都不	dzbu
胆子不小	dzbx
都曾	dzcg
多姿多彩	dzdc
兜底	dzdi
斗胆	dzdj
多灾多难	dzdn
抖动	dzds
多嘴多舌	dzdu
豆豆	dzdz
窦娥	dzee
抵足而眠	dzem
鼎足而立	dzel
斗法	dzfa
豆粉	dzff
兜风	dzfg
弟子服其劳	dzfl
豆腐	dzfu
都给	dzgw
逗哏	dzgf
豆干	dzgj
刁钻古怪	dzgg
待字闺中	dzgv
都怪	dzgk
都快	dzkk
大杂烩	dzh_
钉子户	dzhu
逗号	dzhc
都很	dzhf
都会	dzhv
豆花	dzhx
豆豉	dzii
抖颤	dzij
豆浆	dzjl
豆角	dzjn
打字机	dzji
断子绝孙	dzjs
达则兼济天下	dzjx
陡峻	dzjy
都可	dzke
刁钻刻薄	dzkb
豆蔻	dzkz
丁字裤	dzk_
逗乐	dzle
戴罪立功	dzlg
肚子里	dzl_
都来	dzld
兜里	dzli_
抖落	dzlo
逗留	dzlq
豆类	dzlw
都没	dzmw
豆苗	dzmn
都能	dzng
逗弄	dzns
豆奶	dznd
斗牛	dznq
斗殴	dzou
斗篷	dzpg
陡坡	dzpo
打砸抢	dzq_
斗气	dzqi
陡峭	dzqn
兜圈	dzqr
都去	dzqu
陡然	dzrj
逗人	dzrf
抖擞	dzsz
鼎足三分	dzsf
都是	dzui
豆沙	dzua
都说	dzuo
兜售	dzuz
带在身上	dzuu
带在身边	dzub
电子商务	dzuw
斗争	dzvg
打嘴仗	dzvh
斗志	dzvi
豆渣	dzva
鼎足之势	dzvu
都在玩	dzw_
大做文章	dzwv
地藏王	dzwh
都行	dzxk
都想	dzxl
逗笑	dzxn
东走西顾	dzxg
打字员	dzy_
豆芽	dzya
抖音	dzyb
都要	dzyc
独自一人	dzyr
都用	dzys
都有	dzyz
电子邮箱	dzyx
地造一双	dzyu
陡增	dzzg
都在	dzzd
豆子	dzzi
刀子嘴豆腐心	dzzx
斗嘴	dzzv
动作片	dzpm
得克萨斯	dkss
得梅因	dmyb
丹佛	djfo
亶	djwa
萣	dkcr
亸	dowl
剟	doyd
楪	dpmm
大于	day_
搭车	dai_
打架	daj_
打理	dal_
倒逼	dcb_
导出	dci_
倒是	dcu_
呆板	ddb_
代购	ddg_
带回	ddh_
代驾	ddj_
得志	dev_
得以	dey_
登记	dgj_
登陆	dgl_
当众	dhv_
地痞	dip_
低效	dix_
淡季	djj_
胆子	djz_
顶住	dkv_
跌价	dpj_
断点	drd_
动机	dsj_
独唱	dui_
独自	duz_
对账	dvv_
嘟嘟囔囔	ddn_
簟	dmv2
𬱖	diy2
箪	djv2
达到	dd2
电脑	dn2
当然	dr2
打算	ds2
等着	dv2
大多数	ddu2
打火机	dhj2
导火线	dhx2
打交道	djd2
都江堰	djy2
电视剧	duj2
单引号	dyh2
大涨	davh2
独霸一方	dbyf2
捣蛋	dcdj2
打草惊蛇	dcju2
多此一举	dcyj2
单打独斗	dddd2
得道多助	dddv2
嘀嘀咕咕	ddgg2
多多少少	dduu2
大道至简	ddvj2
独到之处	ddvi2
跌跌撞撞	ddvv2
胆大妄为	ddww2
大跌眼镜	ddyj2
多多益善	ddyu2
达官贵人	dggr2
电光石火	dguh2
担纲	djgh2
大惑不解	dhbj2
调虎离山	dhlu2
地步	dibu2
滴答	dida2
大吃大喝	didh2
大吵大闹	didn2
低端	didr2
多愁善感	diug2
独出心裁	dixc2
大吃一惊	diyj2
地狱	diyu2
淡泊	djbo2
大吉大利	djdl2
耽搁	djge2
打家劫舍	djju2
独具匠心	djjx2
点播	dmbo2
独门独户	dmdh2
垫付	dmfu2
冬暖夏凉	dnxl2
颠三倒四	dsds2
东京	dsjk2
第三季度	dsjd2
董事	dsui2
动手动脚	dudj2
独具	duju2
独善其身	duqu2
毒死	dusi2
打蛇随棍上	dusu2
滴水之恩	duve2
东施效颦	duxp2
洞烛其奸	dvqj2
地主之谊	dvvy2
砥柱中流	dvvl2
斗转星移	dvxy2
丢卒保车	dzbj2
斗笠	dzli2
啲	diku
哋	diky
俤	dirp
掟	dkf_
唞	dzku
喥	doky
屌	dnu_
妉	djn_
丼	djjd
㨃	dvf_
甙	ddy_
㝵	deoc
啇	diwk
单元	dye_
蹾	'dyzw_
汈	'dndd_
饳	'doui_
筜	'dhve_
禘	'dipj_
𨱏	'dajk_
羝	'diyd_
𬭊	'dujt_
打	d2
达	da2
道	dc2
逗	dz2
大概	d3
二	e_
而	er_
尔	erd_
额	ee_
儿	erp_
崿	eeek
俄	eer_
恩	en_
恶	eey_
耳	era_
鹅	eew_
遏	eez_
鄂	eeke
厄	eei_
饿	eeu_
扼	eef_
迩	erz_
娥	een_
鳄	eea_
饵	eru_
洱	erde
蛾	eeiw
噩	eewk
愕	eex_
讹	eeyb
锷	eej_
垩	eeyt
婀	eenk
鹗	eekn
萼	eec_
摁	enf_
贰	ery_
铒	erj_
谔	eeyk
莪	eecw
腭	eeo_
锇	eejw
颚	eekr
呃	eek_
阏	eem_
屙	eeuk
苊	eecv
轭	eeiv
蒽	enc_
珥	erw_
佴	err_
鸸	ere_
鲕	erae
欸	ei_
陑	eree
耏	erep
咡	erk_
𫫇	eekx
峨	eeew
而是	eu_
而且	eq_
儿童	et_
而已	ey_
儿子	ez_
恶搞	eg_
而不	eb_
鹤	eh_
耳机	ej_
儿科	ek_
恶劣	el_
二者	ev_
额外	ew_
而非	ef_
恶毒	ed_
噩梦	em_
恩赐	ec_
恩爱	ea_
饿死	es_
恶心	ex_
恶评	ep_
二八定律	ebdl
饿不饿	ebe_
耳边风	ebf_
二八法则	ebfz
而不会	ebh_
耳鼻喉	ebhz
耳鼻喉科	ebhk
二八佳人	ebjr
二不跨五	ebkw
饿扁了	ebl_
而不去	ebq_
而不是	ebu_
而不像	ebx_
二不休	ebxq
儿不嫌母丑，狗不嫌家贫	ebxp
儿不嫌母丑	ebxi
而不用	eby_
饿不死	ebs_
耳鬓厮磨	ebsm
而不能	ebn_
二百五	ebw_
耳聪目明	ecmm
二次元	ecy_
儿大不由娘	edbn
二道贩子	edfz
二等公民	edgm
二等奖	edj_
饿得要死	edys
恩断义绝	edyj
饿肚子	edz_
恩恩爱爱	eeaa
恶霸	eeba
恶报	eebc
恶补	eebu
额度	eedu_
鹅蛋	eedj
鄂尔多斯	eeds
额定	eedk
恶斗	eedz
恶妇	eefu
恶果	eego
恶鬼	eegv
恶棍	eegy
恶狗	eegz
鹅肝	eegj
恶化	eehx
噩耗	eehc
鹅黄	eehl
恶臭	eeiz
讹传	eeir
鹅肠	eeih
恶疾	eeji
阿胶	eejn
饿了	eele
饿狼	eelh
鹅毛	eemc
恶名	eemk
恶魔	eemo
峨眉	eemw
恶念	eenm
额娘	eenl
厄尔尼诺	eenn
婀娜	eeno
饿殍	eepn
恶气	eeqi
恶犬	eeqr
讹钱	eeqm
鹅绒	eers
鹅肉	eerz
愕然	eerj
恶人	eerf
恶俗	eesu
额头	eetz
恶徒	eetu
扼杀	eeua
扼守	eeuz
屙屎	eeui
遏制	eevi
讹诈	eeva
饿着	eeve
恶战	eevj
扼住	eevu
恶浊	eevo
鹅掌	eevh
俄文	eewf
扼腕	eewj
恶习	eexi
恶性	eexk
扼要	eeyc
恶意	eeyi
鳄鱼	eeyu
厄运	eeyy_
恶贼	eezw
蛾子	eezi
阿房宫	efg_
二佛升天	efut
二分之一	efvy
峨冠博带	egbd
厄瓜多尔	egde
恶贯满盈	egmy
耳根清净	egqj
恩格尔	ege_
恩格尔系数	egeu
恩格斯	egs_
二锅头	egt_
耳刮子	egz_
耳根子软	egzr
二话不说	ehbu
恶狠狠	ehh_
恶狠狠地	ehhd
二话没说	ehmu
娥皇女英	ehny
饿虎扑食	ehpu
耳后生风	ehuf
二合一	ehy_
儿化音	ehyb
二重奏	eiz_
二重简码	eijm
二传手	eiu_
二简词	ejc_
二季度	ejd_
恩将仇报	ejib
恩贾梅纳	ejmn
二简字	ejz_
二荆条	ejt_
二进制	ejv_
鄂伦春族	eliz
俄罗斯	els_
俄罗斯族	elsz
二郎腿	elt_
厄立特里亚	elty
鹅卵石	elu_
而立之年	elvn
二龙戏珠	elxv
二流子	elz_
耳目闭塞	embs
二门不迈	embm
鹅毛大雪	emdx
耳目喉舌	emhu
耳鸣目眩	emmx
阿弥陀佛	emtf
峨眉山	emu_
恶名昭彰	emvv
耳目众多	emvd
耳目一新	emyx
恩德	ende
恩典	endm
摁倒	endc
婀娜多姿	endz
恩公	engs
嗯哼	enhg
恩惠	enhv
恩仇	eniz
恩宠	enis
儿女成群	eniq
二年级	enj_
嗯呢	enne
嗯呐	enna
恩情	enqk
儿女情长	enqi
儿女情长，英雄气短	enqd
儿女亲家	enqj
恩人	enrf
儿女私情	ensq
恩师	enui
恩准	envy
恩怨	enyr
恩义	enyi
恩遇	enyu
恩泽	enze
耳旁风	epf_
阿其所好	eqsh
饿其体肤	eqtf
二八	erba
二百	erbd
二笔	erbi
耳边	erbm
耳背	erbw
二次	erci
二层	ercg
二代	erdd
二等	erdg
而定	erdk
耳朵	erdo
二度	erdu
耳洞	erds
二分	erff
二房	erfh
儿歌	erge
耳根	ergf
耳光	ergl
而过	ergo
耳垢	ergz
耳环	erhr
耳鼓	ergu
二号	erhc
二货	erho
而后	erhz
洱海	erhd
二胡	erhu
二回	erhv
二婚	erhy
而成	erig
二重	eris
耳垂	eriv
而今	erjb
耳尖	erjm
耳孔	erks
二楼	erlz
二两	erll
而来	erld
而立	erli
二老	erlc
饵料	erln
二流	erlq
耳聋	erls
二类	erlw
而论	erly
儿郎	erlh
耳目	ermu
耳麦	ermd
耳鸣	ermk
耳膜	ermo
鸸鹋	ermn
耳濡目染	ermr
儿女	ernv
而能	erng
二奶	ernd
耳畔	erpj
二品	erpb
二期	erqi
而去	erqu
二人	errf
二日	erri
耳热	erre
耳塞	ersd
而死	ersi
儿孙	ersy
耳听	ertk
二十	erui2
耳熟	eruu
二手	eruz
而生	erug
二审	eruf
耳顺	eruy
二人世界	eruj
二战	ervj
耳坠	ervv
耳罩	ervc
而外	erwd
耳闻	erwf
二五	erwu
二位	erww
二心	erxb
儿戏	erxi_
耳软心活	erxh
二线	erxm
恶人先告状	erxv
而言	eryj
二元	eryr
二月	eryt
耳语	eryu
饿死胆小的	esdd
饿死鬼投胎	esgt
饿死了	esl_
儿孙满堂	esmt
二三十	esu_
饿死事小	esux
饿死事小，失节事大	esud
二三月份	esyf
耳听八方	etbf
儿童不宜	etby
恩同父母	etfm
儿童节	etj_
耳提面命	etmm
耳听为虚，眼见为实	etwu
儿童文学	etwx
恩同再造	etzz
二十八	eub_
二十多	eud_
二十多年	eudn
二十多岁	euds
二十二	eue_
恶声恶气	eueq
二手房	euf_
二十好几	euhj
二十九	euj_
二十几个	eujg
二十几岁	eujs
二十六	eul_
恶势力	euli
二十来岁	euls
二手车	eui_
二十出头	euit
额手称庆	euiq
二十年	eun_
耳熟能详	eunx
二十七	euq_
二十四	eus_
二十三	eusj
二十岁	eusv
二十四小时	eusu
二十世纪	euuj
二十五	euw_
额手相庆	euxq
二十一	euy_
恩深义重	euyv
二十一世纪	euyj
而胜于蓝	euyl
二傻子	euz_
二世祖	euzu
二者不可得兼	evbj
二者必居其一	evby
二指禅	evi_
二者皆可抛	evjp
恩重如山	evru
二者之间	evvj
恩威并施	ewbu
恩威并重	ewbv
耳闻不如一见	ewbj
扼腕长叹	ewit
鄂温克族	ewkz
二维码	ewm_
耳闻目睹	ewmd
耳闻目见	ewmj
扼腕叹息	ewtx
耳闻是虚	ewux
二五仔	ewz_
二线城市	exiu
儿行千里母担忧	exqy
恶心死了	exsl
恶性循环	exxh
二选一	exy_
恶向胆边生	exdu
恶形恶状	exev
恶心恶心	exex
恶有恶报	eyeb
二月份	eyf_
阿谀奉承	eyfi
恩怨分明	eyfm
阿谀逢迎	eyfy
二氧化碳	eyht
恩怨情仇	eyqi
二一添作五	eytw
恶语伤人	eyur
恩怨是非	eyuf
恶意中伤	eyvu
尔虞我诈	eywv
恶语相向	eyxx_
恶语相加	eyxj
鳄鱼眼泪	eyyl
恶作剧	ezj_
偶尔	eo_
俄亥俄	ehe_
俄克拉何马	eklm
俄勒冈	elg_
俄克拉何马城	ekli
涐	eedw
堨	eetv
Excel	exce
Emoji	emoj
儿媳	erx_
恶言相向	eyx_
恩恩怨怨	eeyy2
诶	eiyu
奀	enbd
姶	'eenk_
𥔲	'eeuk_
嗯	e2
嗯嗯	e3
发	f_
方	fhd_
法	fa_
分	ff_
放	fh_
府	fug_
费	fw_
服	fuo_
风	fg_
副	fu_
反	fj_
负	fud_
富	fub_
房	fhh_
防	fhe_
范	fjc_
访	fhy_
飞	fwv_
福	fup_
夫	fua_
犯	fjq_
丰	fga_
纷	ffs_
否	fz_
妇	fun_
奋	ffd_
幅	fuj_
繁	fjpx
饭	fju_
付	fur_
罚	fas_
扶	fuf_
封	fgt_
纺	fhs_
泛	fjd_
肥	fwo_
父	fubx
符	fuv_
翻	fjp_
附	fue_
腐	fugr
凡	fjj_
峰	fge_
乏	fap_
伐	far_
筏	fav_
奉	fgf_
赴	fut_
废	fwg_
返	fjz_
番	fjpt
佛	fo_
粉	ffm_
凤	fgjy
芳	fhc_
锋	fgj_
贩	fjk_
仿	fhr_
浮	fudz
覆	fux_
辅	fui_
冯	fgd_
菲	fwc_
氛	ffq_
傅	furc_
芬	ffc_
伏	furq
赋	fuk_
逢	fgz_
辐	fuit_
腹	fuow
缝	fgs_
坊	fht_
烦	fjh_
肤	fuof
蜂	fgi_
阜	fupu
馥	fuh_
帆	fjjf
袱	fupq
樊	fjm_
愤	ffx_
肺	fwol
妨	fhn_
啡	fwkf
沸	fwd_
缚	fus_
匪	fwk_
甫	fuad
枫	fgm_
氟	fuq_
粪	ffmb
阀	fam_
坟	fft_
斐	fwf_
斧	fubj
焚	ffmh
孚	fupz
肪	fho_
拂	fuff_
讽	fgy_
俘	furz
咐	fukc_
腑	fuoc
烽	fgh_
孵	ful_
藩	fjct_
芙	fuc_
涪	fudk
蜚	fwfi
釜	fuba
妃	fwn_
诽	fwy_
扉	fwh_
酚	ffy_
翡	fwfx
霏	fwyf
邡	fhf_
舫	fhv_
吩	ffk_
茯	fucq
彷	fhi_
忿	ffb_
吠	fwkq
宓	fubb
幡	fjjt
砝	fau_
俸	fgr_
畈	fjt_
绂	fusd
绯	fws_
讣	fuy_
呋	fukf
罘	fusb
匐	fubt_
腓	fwof
沣	fgdf
痱	fwb_
芾	fucl
垡	fart
淝	fwdb
枋	fhm_
跗	fuz_
滏	fuda
珐	faw_
蝮	fuiw
鲂	fha_
悱	fwxf
狒	fwq_
棼	ffmd
驸	fum_
榧	fwm_
玢	ffw_
绋	fusf
蚨	fuif
酆	fgee
桴	fumz
砜	fgu_
鲱	fwa_
葑	fgc_
缶	fzw_
菔	fucy
鼢	ffjd
呒	fukw
钫	fhj_
蘩	fjcx
趺	fuzf
苻	fucc
拊	fufc
鲋	fuac
蹯	fjzt
瀵	ffdb
怫	fuxf
燔	fjht
稃	fuhz
郛	fupe
莩	fucz
幞	fujn
篚	fwvf
镄	fwj_
鲼	ffa_
唪	fgk_
艴	fufb
黻	fuyd
黼	fuyf
𫓧	fujf
茀	fucf
𬴂	fwmf
昉	fhof
牥	fhnf
榑	fumc
棻	ffcm
翂	ffxd
豮	ffur
沨	fgdx
堼	fgtt
崶	fgec
赗	fgko
璠	fjw_
墦	fjtt
芣	fucb
㳇	fudx
玞	fuwf
韨	fuwd
砆	fuu_
洑	fudq
琈	fuwz
𫖯	fuer
鄜	fuge
簠	fuvm
朏	fwoi
剕	fwfd
棐	fwfm
方面	fm_
发现	fx_
非常	fi_
方便	fb_
反应	fy_
分配	fp_
放弃	fq_
繁体	ft_
反对	fd_
反而	fe_
否认	fr_
放松	fs_
反馈	fk_
烦恼	fn_
反正	fv_
讽刺	fc_
分类	fl_
法案	faan
发布	fabu
法宝	fabc
发白	fabd
发榜	fabh
法办	fabj
发病	fabk
发辫	fabm
发表	fabn
发财	facd
发错	faco
发呆	fadd
发达	fada
发到	fadc
罚单	fadj
法定	fadk
发电	fadm
发动	fads
法度	fadu
发嗲	fadx
发抖	fadz
发放	fafh
发奋	faff
发疯	fafg
发福	fafu
发个	fage
发给	fagw
法规	fagv
发稿	fagc
发光	fagl
发功	fags
法国	fago
法官	fagr
法号	fahc
发狠	fahf
发函	fahj
发黄	fahl
发火	faho_
发还	fahr
发红	fahs
发挥	fahv
发黑	fahw
发话	fahx
发昏	fahy
发出	faiu
法场	faih
发颤	faij
发车	faie
发春	faiy
发愁	faiz
发痴	faii
发觉	fajt
罚金	fajb
发迹	faji
法警	fajk
发奖	fajl
发酵	fajn
发件	fajm
罚酒	fajq
发夹	fajx
发窘	fajs
罚款	fakr
发困	faky
发狂	fakl
发苦	faku
发了	fale
乏力	fali
法老	falc
发来	fald
发冷	falg_
发蜡	fala
发廊	falh
法令	falk
发亮	fall
发落	falo
法律	falv
法轮	faly
法兰	falj
发麻	fama
阀门	famf
发蒙	famg
法盲	famh
发明	famk
罚没	famo
伐木	famu
发霉	famw
发毛	famc
发怒	fanu
发难	fanj
发苶	fanp
发牌	fapd
发胖	faph
发票	fapn
发配	fapw
发起	faqi
发情	faqk
发钱	faqm
发球	faqq
发卡	faqx
发热	fare
法人	farf
发软	farr
发骚	fasc
发散	fasj
发酸	fasr
发丧	fash
发丝	fasi
法庭	fatk
发烫	fath
发条	fatn
发帖	fatp
发图	fatu
发烧	fauc
发射	faue
发生	faug
发誓	faui
法术	fauu
发水	fauv
发售	fauz
发傻	faua
发展	favj
法治	favi
法阵	favf
发证	favg
发文	fawf
法网	fawh
法外	fawd
乏味	faww
法务	fawu
发行	faxk_
发信	faxb
罚息	faxi
发小	faxn
发泄	faxp
法学	faxt
发虚	faxu
发下	faxx
发言	fayj_
发芽	faya
发音	fayb
发扬	fayh
法医	fayi
法院	fayr
发育	fayu
发晕	fayy
发油	fayz
法则	faze
发作	fazo
发簪	fazj
法子	fazi
风必摧之	fbcv
罚不当罪	fbdz
法不阿贵	fbeg
烦不烦	fbf_
方不方便	fbfb
奋不顾身	fbgu
富不过三代	fbgd
发不出	fbi_
法不传六耳	fbie
奋笔疾书	fbju
放不开	fbk_
分不开	fbkd
分辨率	fbl_
分崩离析	fblx
凤表龙姿	fblz
方便面	fbm_
肤白貌美	fbmm
分不清	fbq_
分不清楚	fbqi
扶不起的阿斗	fbqd
法不容情	fbrq
分别是	fbu_
犯不上	fbuh
扶不上墙	fbuq
腹背受敌	fbud
防不胜防	fbuf
犯不着	fbv_
方便之门	fbvm
反败为胜	fbwu
放不下	fbx_
翻白眼	fby_
反编译	fbyi
非比寻常	fbxi
法不责众	fbzv
方寸不乱	fcbl
方寸大乱	fcdl
非此即彼	fcjb
发错了	fcl_
风餐露宿	fcls
服从命令	fcml
凡此种种	fcvv
方寸之地	fcvd
发财致富	fcvf
方寸已乱	fcyl
父慈子孝	fczx
放荡不羁	fdbj
肥嘟嘟	fdd_
复旦大学	fddx
反对党	fddh
福地洞天	fddt
辅导辅导	fdfd
梵蒂冈	fdg_
发达国家	fdgj
飞得更高	fdgg
凫短鹤长	fdhi
房地产	fdi_
釜底抽薪	fdix
