戔	aaaa · 
𡭋	hyxk · 
㟱	hyxo · 
𡶍	hyxy · 
𡼴	hyyd · 
𭗙	hyyd · 
𡹽	hyyv · 
𠀬	hyyw · 
𡻏	hyyw · 
𪩎	hyyx · 
𡍌	iaaa · 
𥀀	iaac · 
𭟯	iaaf · 
𫳉	iacd · 
坡	iacf · 土皮
𡖦	iacu · 
䀤	iad · 
𡐘	iadc · 
𪣮	iadn · 
𪧓	iadr · 
𡋺	iadx · 
𫳋	iadx · 
墡	iaen · 土羊䒑口
迯	iaep · 
達	iaep · 
㙋	iaff · 
𭓼	iaff · 
𡊸	iag · 
𭎨	iagt · 
𡎥	iahi · 
𫮋	iahi · 
垟	iaif · 土羊
𡪈	iaif · 
𦍒	iaif · 
𪤏	iaif · 
𡖉	iaii · 
𫳅	iaio · 
𢘵	iaiu · 
㓝	iajg · 
𪤸	iajj · 
𫴣	ialb · 
圤	ialf · 
𪢱	ialf · 
外	ialq · 夕卜
𫳎	ialq · 
𡪓	iam · 
𧵏	iamm · 
𫮡	iamm · 
域	ianf · 土戈口一
𠒬	ianf · 
𡨂	ianm · 
𪣔	ianm · 
夞	iann · 
𪅫	ianr · 
𨀑	ians · 
寖	iao · 
𡫏	iaob · 
𮟉	iaod · 
𡩻	iaop · 
墚	iapo · 土氵刀木
𡐵	iapo · 
𡨓	iapr · 
𭎚	iaq · 
𭨚	iarm · 
盐	iasm · 土卜皿
𡏼	iast · 
𪧜	iast · 
𢇄	iat · 
𭓻	iaue · 
𢝗	iaup · 
𪣢	iauy · 
𡪦	iavf · 
𫭘	iavf · 
𡪜	iavo · 
夘	iavq · 
墈	iavu · 土其乛力
堪	iavv · 土其乛乛
𫳺	iaw · 
𭴕	iaxo · 
㙍	ibbb · 土又又又
𡨤	ibbb · 
𧔃	ibbb · 
㘮	ibbf · 
𡩿	ibbi · 
𡩓	ibbm · 
𠼆	ibbn · 
𡪧	ibbo · 
𪤌	ibbo · 
𪧆	ibbo · 
𡧕	ibbx · 
𡪚	ibbx · 
𪧙	ibbx · 
塳	ibce · 
埄	ibcg · 
𡨛	ibcg · 
𣠒	ibcg · 
𧺁	ibcg · 
墦	ibcm · 土釆田
壋	ibcm · 
審	ibcm · 
𡍉	ibcm · 
㔤	ibcu · 
𡫘	ibcu · 
覾	ibcw · 
塬	ibdf · 土原
𡪽	ibdw · 
𡨉	ibej · 
𨒥	ibep · 
𡩭	ibfs · 
𡧸	ibhm · 
𡑄	ibht · 
𭏠	ibif · 
㕚	ibii · 
𡋤	ibjo · 
㝮	ibl · 
𡪃	ibld · 
𪧞	iblj · 
𡧨	iblv · 
㙥	ibm · 
𡉥	ibmf · 
𧵚	ibmm · 
𫲹	ibmo · 
𡖌	ibmq · 
𤼭	ibmx · 
𭃺	ibna · 
𢾏	ibnb · 
𩤩	ibnf · 
𣣟	ibnl · 
客	ibnm · 宀夂口
垎	ibnm · 土夂口
額	ibnm · 
𡩨	ibnm · 
𩳼	ibnm · 
𡪞	ibnn · 
𡫥	ibnn · 
𡬚	ibnn · 
𮙐	ibnn · 
𡐻	ibnr · 
𪃭	ibnr · 
愙	ibnu · 
𫟭	ibnw · 
额	ibny · 宀夂口贝
宻	ibq · 
𮔉	ibqb · 
𡕟	ibqf · 
𪄋	ibqr · 
𡧞	ibre · 
圳	ibrf · 土川
𡨬	ibs · 
𫳴	ibst · 
垁	ibt · 
𡧦	ibto · 
𤼩	ibtx · 
𡫾	ibub · 
𭔎	ibup · 
𭜰	ibup · 
𫳏	ibvk · 
𡧥	ibvv · 
𡪂	ibwm · 
宷	ibwo · 
𪤅	ibwq · 
壗	ibx · 
𪢲	ibxf · 
㝊	ibxo · 
壌	ibxx · 
𤼦	ibxx · 
宍	iby · 
𡉽	ibyf · 
𧷀	ibym · 
𡧿	icaa · 
𡒡	icac · 
𫳿	icaf · 
𡨖	icaj · 
𪣛	icaj · 
𡍛	icat · 
𧒡	icbb · 
垠	icbf · 土艮
良	icbi · 丶艮丶
𡏪	icbo · 
𡓈	icbr · 
𡎠	icbs · 
坂	icbx · 土又
𡫙	iccb · 
㙼	iccc · 
𡫟	iccc · 
𪣜	iccc · 
𫴪	iccc · 
𡉁	iccf · 
𡏚	icch · 
𡔁	icci · 
𡔂	icci · 
𡫼	icci · 
𢥜	iccl · 
𡫳	iccl · 
𡦺	icco · 
𫳯	icco · 
𭏣	iccp · 
𪆕	iccr · 
壚	iccs · 
𢤑	iccu · 
𢥛	iccu · 
𭐁	iccu · 
𡫮	iccy · 
𡉑	icd · 
𡍲	icdf · 
𭐇	icdk · 
𡗞	icdn · 
𡪳	icdw · 
𡌨	icel · 
垯	icep · 土大辶
䢣	icep · 
𡉎	icff · 
𪧫	icff · 
𭏬	icff · 
𫴉	icfm · 
㙗	icfo · 
𡧇	icfo · 
㙽	icfr · 
垮	icfs · 土大一丂
憲	icfu · 
壉	icgd · 
𪢽	icgf · 
𫲸	icgo · 
𡧢	icgw · 
㚀	icha · 
𤼼	ichb · 
垢	ichf · 土𠮛
𡧻	ichf · 
𭏁	ichk · 
𡔎	ichl · 
𫳁	ichm · 
㙈	ichq · 
𫳔	ichq · 
𡒜	ichu · 
𡌱	ichv · 
𡩍	ichv · 
埉	ichw · 
𡏛	icic · 
𡎪	icif · 
𡏱	icih · 
𫤡	icih · 
𤭒	icja · 
𠮈	icjb · 
垺	icjv · 土爫子
𡨻	icjv · 
𫭧	icjv · 
𭎰	icjv · 
𫮊	ickb · 
𥆴	ickd · 
𡐶	icke · 
埒	ickf · 土爫寸
埓	ickf · 
墟	ickj · 土虍业
𧇺	ickj · 
㙕	ickm · 
𪔌	iclb · 
𡉴	iclb · 
𡌹	icld · 
𡎆	icld · 
𡊌	iclg · 
𡌐	iclh · 
𭎋	iclj · 
𡍋	icll · 
𡊰	icmf · 
𡎴	icmm · 
𪧈	icmo · 
𤰧	icmq · 
塊	icmx · 
𩳁	icmx · 
𭔉	icmx · 
割	icna · 宀丰口刂
㪡	icnb · 
㲅	icnb · 
𢻜	icnb · 
𢾒	icnb · 
𩟸	icnc · 
𭔛	icnc · 
𭔠	icnc · 
𡫴	icnh · 
𫮺	icni · 
𭐋	icni · 
𫳶	icnk · 
𣣶	icnl · 
害	icnm · 宀丰
𡧱	icnm · 
𡧶	icnm · 
豁	icnn · 宀丰口口
𡫲	icnn · 
𫴥	icnn · 
壪	icnq · 
鶷	icnr · 
𪃜	icnr · 
𡔖	icns · 
𡩸	icns · 
㝬	icnt · 
𡮞	icnt · 
𫴙	icnt · 
𠢆	icnu · 
𡑾	icnu · 
𢞩	icnu · 
𩏓	icnv · 
𨜱	icnw · 
𨝃	icnw · 
𦢽	icny · 
𫳪	icob · 
垜	icof · 
埰	icof · 
寀	icof · 
𣐟	icof · 
塽	icoo · 
𬸏	icoq · 
𣈌	icor · 
㝣	icp · 
㓪	icpc · 
𡐤	icph · 
𡎍	icpm · 
𡓰	icps · 
𡔐	icpw · 
𠠙	icqa · 
𪣨	icqg · 
寮	icqh · 宀大丷小
㙩	icqh · 
𡨨	icqi · 
𡎽	icqo · 
𬩪	icqo · 
𡩯	icqv · 
寪	icqx · 
𡐮	icqx · 
𦫏	icqx · 
𪧛	icrh · 
𡪐	icri · 
𡎟	icrm · 
寄	icrn · 宀大丁口
埼	icrn · 土大丁口
𪀱	icrr · 
𪁜	icrr · 
𥃊	icrs · 
𥃎	icrs · 
埯	icrv · 土大日乛
𡪫	icrv · 
𫳑	icrv · 
𤼮	icsa · 
𭎷	icsm · 
𠻡	ictn · 
𭓦	icto · 
𡌸	icud · 
𡨵	icum · 
𡒾	icva · 
塖	icvh · 
㙤	icvl · 
𧇲	icvr · 
𭏟	icvr · 
𡏟	icvt · 
𡩴	icvt · 
𡐢	icwf · 
郞	icwv · 
郎	icwv · 
𡐸	icww · 
堺	icy · 
𫭷	icyf · 
㝘	icyo · 
𧥧	icyq · 
塪	icyr · 
𡩹	icyr · 
𧦴	icyx · 
𭏊	idai · 
圯	idbf · 土巳
𡐖	idbi · 
堀	idbl · 土尸屮凵
𡪅	idbw · 
𨝢	idbw · 
㝡	idbx · 
𢇀	idc · 
寴	idd · 
𡕹	iddb · 
𡓳	iddd · 
㙌	iddg · 
𡧘	iddo · 
𨭧	iddt · 
𪣓	idej · 
埤	idel · 土白丿十
逇	idep · 
𫐸	idep · 
𪣌	idff · 
𭎏	idff · 
墇	idfm · 
宦	idfo · 宀臣
𧹞	idga · 
螫	idgb · 土八虫
赧	idgb · 土八又
赨	idgb · 
赮	idgb · 
𠭷	idgb · 
𧹛	idgb · 
𧹮	idgb · 
䞑	idgc · 
䞓	idgc · 
𡘥	idgc · 
𧹢	idgc · 
𧹭	idgc · 
𧹴	idgc · 
𧺀	idgc · 
𫎭	idgc · 
𫎰	idgc · 
𬦂	idgc · 
𫐨	idge · 
赫	idgg · 土八八
䞒	idgh · 
𧹩	idgh · 
𧹯	idgh · 
𧹶	idgh · 
𧹠	idgi · 
𧹥	idgi · 
𧹬	idgi · 
𪤚	idgi · 
𧹝	idgj · 
赩	idgk · 
䞕	idgk · 
𧹸	idgk · 
赥	idgl · 
赬	idgm · 
頳	idgm · 
𫎮	idgm · 
𭴩	idgm · 
𮚱	idgm · 
赯	idgn · 
𧹟	idgn · 
𧹣	idgn · 
𬦁	idgn · 
𭊆	idgn · 
䞔	idgo · 
𧹺	idgo · 
𫛿	idgo · 
𧹪	idgp · 
𧹙	idgr · 
𧹡	idgr · 
𧹰	idgr · 
𧹹	idgr · 
𧹿	idgr · 
𪁌	idgr · 
𫎯	idgr · 
赦	idgs · 土八攵
𧹤	idgs · 
𢟻	idgu · 
𢠱	idgu · 
𤛖	idgu · 
𧹜	idgu · 
赭	idgv · 土八者
𧹧	idgv · 
𧹱	idgv · 
𧹻	idgv · 
赤	idgw · 土八
郝	idgw · 土八阝
䚂	idgw · 
𧹦	idgw · 
𧹵	idgw · 
𧹼	idgw · 
𧺃	idgw · 
𬦄	idgw · 
𬫁	idgw · 
𡣅	idgx · 
𧹽	idgx · 
赪	idgy · 土八贝
𪤍	idhf · 
𡍾	idhh · 
𠙓	idhq · 
壣	idic · 
𪤞	idid · 
𪣻	idif · 土娄
𫭩	idif · 
𭎐	idif · 
𡑜	idii · 
𫭺	idii · 
𪧘	idio · 
𡪬	idiq · 
𡨗	idja · 
𪣝	idja · 
𪣱	idjj · 
壠	idka · 
寵	idka · 
𭔭	idkf · 
𡌷	idkl · 
𡬈	idkn · 
𡓹	idkw · 
𢍇	idld · 
𫮼	idle · 
𡊈	idlf · 
𡒈	idll · 
𡎏	idlm · 
𣸕	idlm · 
𫮵	idlo · 
𡒛	idlr · 
墀	idlu · 土尸牛
墆	idm · 
𡎔	idma · 
𡊟	idmf · 
𡏺	idmf · 
𪧖	idmi · 
𡧟	idmo · 
𫳷	idnb · 
𫮍	idnj · 
𭔃	idnj · 
培	idnm · 土立口
𫳛	idnm · 
坭	idnq · 土尸匕
𡋳	idnq · 
𡨇	idnq · 
𡏿	idnw · 
𡪉	idoa · 
寝	idob · 宀丬彐又
䵺	idob · 
𪔄	idob · 
𡩈	idof · 
𡫎	idos · 
墛	idpk · 
𡍈	idpm · 
𬟛	idpr · 
𡍇	idpt · 
塀	idq · 
𡎮	idqk · 
𡒸	idqr · 
𪽣	idr · 
𡊚	idrf · 
𭓳	idrf · 
𫴋	idrn · 
𡏡	idrv · 
𫳭	idrv · 
堭	idsg · 
𤾗	idsg · 
𭔄	idsj · 
𪤂	idsm · 
㘲	idsq · 
壏	idt · 
𪧭	idte · 
𡔑	idtw · 
𢜇	idup · 
𠢂	iduu · 
地	idvf · 土也
𭍽	idvf · 
𡌞	idvi · 
𭏴	idvi · 
𡑥	idvl · 
𡌟	idvn · 
𡨅	idvn · 
𡧀	idvo · 
𡩇	idvp · 
墽	idvs · 
𡫀	idvs · 
𭤵	idvy · 
墥	idw · 
𡑴	idwb · 
垷	idwq · 
𠄺	idwq · 
𡌗	idwq · 
𫳨	idww · 
𡎰	idwy · 
𪧳	idx · 
垃	idyf · 土立
𡩁	idyo · 
𫲿	idyo · 
剆	iea · 
𫅞	iean · 
𡖖	ieav · 
𭅺	ieav · 
𡏤	iebe · 
𤼬	iebx · 
埏	ieed · 土丿廴
㝚	ieed · 
𡍍	ieeh · 
𠟜	iefa · 
坩	ieff · 土甘
塻	ieff · 
𡨰	iefh · 
寞	iefo · 宀莫
𡫗	iefo · 
𭓣	iefo · 
𫮦	iefu · 
𤾿	iefw · 
𡪊	iefx · 
𭓧	iegb · 
墺	iegc · 
𡪿	iegc · 
𡒠	iege · 
坛	iegf · 土云
𡨿	iegm · 
垧	iegn · 土丿冂口
𢆹	iegn · 
塧	iegs · 
𨪄	iegt · 
𡫋	iehe · 
𪤡	iehe · 
址	iehf · 扌止
𡑊	iehi · 
𡋸	iehj · 
𫲺	ieho · 
𫮲	iei · 
𫳊	ieif · 
𭏔	ieii · 
𫴓	iein · 
宅	ieja · 宀䒑七
圫	ieja · 土丿七
𡉒	ieja · 
𡏊	iejg · 
𪀥	iejr · 
𡎃	ieki · 
𡌶	iekj · 
𪣩	iekm · 
𡐭	iekr · 
𭶊	iekx · 
欴	iel · 
𡉧	ield · 
𭔡	ielf · 
𫭭	iem · 
𪚪	iemm · 
𫴈	ienb · 
𡏨	iend · 
𡨘	ieni · 
郒	ienk · 
㙖	ienn · 
㝢	ienn · 
𡍥	ieno · 
𭎔	ienq · 
𡎵	ienv · 
𡎡	ieof · 
𭔀	ieoh · 
埗	ieok · 土止𣥂
塠	iepe · 
𨑒	iepf · 
进	iepg · 井辶
埠	iepl · 土丿㠯十
𨒺	iepl · 
垖	iepm · 
𡋁	iepm · 
𡧺	iepm · 
𨑚	iepq · 
𡏲	iera · 
𡋒	iesm · 
𣂞	iete · 
𭓷	ietk · 
勆	ieuc · 
𡫌	ieuc · 
塱	ieui · 丶月土
𬂆	ieuj · 
㮾	ieuo · 丶月木
朗	ieuq · 丶月
𥓇	iev · 
𫵉	iewc · 
𨖅	iewe · 
𡏅	iewi · 
𫑯	iewl · 
𡊪	iewq · 
𫑱	iewu · 
郎	iewv · 丶阝
𡖥	iewv · 
𤼻	ieww · 
𪤭	ieww · 
𦫍	iex · 
𪣇	iexp · 
𪣫	ieya · 
𮎘	ieyl · 
垓	ieyw · 土人
堜	ifa · 
𠒵	ifah · 
𡊻	ifaj · 
𡏫	ifao · 
𪧶	ifar · 
𫴨	ifaw · 
𪢸	ifb · 
𫭜	ifbr · 
壃	ifcf · 
𡍠	ifcf · 
㙧	ifcm · 
𡏘	ifdb · 
𭔆	ifdb · 
𪣼	ifdc · 
𡧒	ifdo · 
㝟	ifdw · 
𡩅	ifep · 
𡐋	ifer · 
土	iff · 土一
𭄑	iffa · 
埡	ifff · 
㙊	ifff · 
𡊛	ifff · 
𡏢	ifff · 
𪤄	ifff · 
㝉	iffo · 
㝞	iffo · 
寕	iffr · 
壞	iffx · 
𡩲	iffx · 
𡫖	iffx · 
㙲	ifg · 
𥋩	ifgd · 
𫳤	ifgd · 
𡐴	ifgk · 
𫳖	ifgn · 
𡒄	ifgp · 
𡒚	ifgr · 
𡧆	ifgw · 
𭏜	ifhb · 
埣	ifhl · 
𡨧	ifhl · 
𡵪	ifhm · 
𪧅	ifhm · 
坘	ifhn · 
坑	ifhq · 土亠几
寰	ifhx · 宀罒𠮛蘿
𡑡	ifhx · 
堘	ifif · 
𫮫	ifih · 
𡏀	ifii · 
𡉬	ifin · 
𡊨	ifin · 
𫭽	ifiq · 
墿	ifir · 
𠓋	ifir · 
𡞅	ifix · 
𡌣	ifja · 
𪤯	ifja · 
𡔋	ifjb · 
𡫉	ifjb · 
𨘄	ifje · 
𫳥	ifje · 
堽	ifjf · 土罒正
𫳇	ifjf · 
𡪛	ifjm · 
𩕽	ifjm · 
𡧍	ifjv · 
堧	ifkc · 土丆大
𭎿	ifke · 
𫭱	ifkf · 
𡑂	ifkk · 
𪣳	ifkk · 
壈	iflc · 
𤼴	ifld · 
𪣰	ifld · 
䢓	ifle · 
宇	iflf · 宀一十
圩	iflf · 土一十
𪤉	iflm · 
𭓢	iflm · 
墻	ifln · 
𡑙	iflo · 
𬐞	ifls · 
壇	iflu · 
𧙶	iflx · 
𭄖	ifma · 
𭎓	ifmf · 
𩑗	ifmm · 
𩒚	ifmm · 
𩓋	ifmm · 
𫳜	ifmm · 
𭎸	ifmm · 
寡	ifmn · 宀丆目分
𡓁	ifmn · 
𡋫	ifoa · 
𡊉	ifof · 
䎙	ifoh · 
𡧴	ifoi · 
𫴑	ifok · 
垴	ifol · 土亠㐅凵
賓	ifom · 
顮	ifom · 
𩴱	ifom · 
𪤋	ifom · 
埢	ifon · 
𣰨	ifoo · 
䨈	ifop · 
𡧂	ifoq · 
𡧤	ifor · 
𪇕	ifor · 
䚔	ifow · 
𪹿	ifox · 
𡊔	ifp · 
𣀿	ifps · 
𬚮	ifpu · 
𡩵	ifqg · 
埬	ifrh · 
𫮎	ifrh · 
𫳒	ifrh · 
𡋦	ifrm · 
埂	ifro · 土一日㐅
𡩦	ifru · 
𡔓	ifrw · 
𨟛	ifrw · 
圬	ifsa · 土一丂
𫐲	ifse · 
𡩂	ifsg · 
定	ifsh · 宀一龰
𡊕	ifsh · 
𡨴	ifsj · 
顁	ifsm · 
𡏖	ifsm · 
𫮠	ifsm · 
𪅢	ifsr · 
𬱫	ifsy · 
𭆷	iftb · 
𨖋	ifte · 
𭏍	iftr · 
寁	ifts · 宀一龰
𠝳	ifua · 
𡉨	ifud · 
𩤡	ifuf · 
翧	ifuh · 
𤠊	iful · 
宣	ifum · 宀一旦
垣	ifum · 土一旦
𧶎	ifum · 
𭎹	ifum · 
𩀈	ifup · 
𩘒	ifuq · 
䳦	ifur · 
𡪏	ifuu · 
𭐀	ifuu · 
𡧎	ifuv · 
𧡢	ifuw · 
㝍	ifvf · 
𭔌	ifvr · 
塄	ifvy · 土罒方
𪣥	ifwe · 
𫝟	ifwm · 
𣑄	ifwo · 
𡧉	ifwq · 
𡋮	ifww · 
壀	ifwy · 
𫴎	ifwy · 
戭	ifxa · 宀一由戈
𡫵	ifxc · 
𫟨	ifxe · 
寅	ifxg · 宀一由八
𫳂	ifxm · 
𡩑	ifxq · 
㪦	ifxs · 
𫴃	ifxs · 
𫳾	ifxu · 
壤	ifxx · 土亠吅𧘇
𡩟	ify · 
𪤑	iga · 
𡩺	igan · 
坺	igb · 
𡏜	igbh · 
𪤽	igbi · 
𧤂	igbl · 
夌	igbq · 
𫆢	igbu · 
坱	igc · 
堶	igck · 
家	igdo · 宀豕
𧠽	igdw · 
堈	ige · 
𡒁	igef · 
𡐌	igep · 
𡉉	igff · 
𡩃	igff · 
𩔧	igfm · 
𭓸	igfn · 
𡧳	igfo · 
堩	igfu · 
𡍷	igfu · 
𠕍	igfw · 
坍	igfy · 土亠
埛	igg · 
𠕜	iggb · 
𡊢	iggf · 
𥤬	iggl · 
𪢹	iggm · 
𡖛	iggn · 
𠕉	iggw · 
𧯣	ighe · 
垌	ighf · 土冂𠮛
𡍐	igia · 
𢻝	igib · 
𬓺	igic · 
逵	igie · 土八土辶
㙯	igie · 
𫐫	igie · 
坴	igif · 
驇	igif · 
㘱	igif · 
𢇃	igig · 
摰	igih · 
𢴸	igih · 
𢸧	igih · 
埶	igii · 
㙇	igii · 
𡉋	igii · 
𡑫	igii · 
𤮅	igij · 
燅	igim · 
䞇	igim · 
𤍽	igim · 
𤎮	igim · 
𩕜	igim · 
𫮀	igin · 
𭐷	igin · 
槷	igio · 
𢄢	igip · 
𢅮	igip · 
暬	igir · 
鵱	igir · 
𨬝	igit · 
勎	igiu · 
勢	igiu · 
𢟯	igiu · 
𣁞	igiu · 
𡎐	igiv · 
熱	igix · 
𡑰	igix · 
𡠦	igix · 
𡢂	igix · 
𧜼	igix · 
井	igj · 井丨
宯	igjv · 
𡌉	igjv · 
𭓺	igkg · 
宥	igkm · 宀
𢌻	igl · 
𡉱	iglg · 
𭜙	iglk · 
𭓰	iglm · 
𫭵	iglv · 
𡉅	igmf · 
塕	igmh · 
翝	igmh · 
𡩥	igmh · 
𪧏	igmi · 
𡍻	igmj · 
𡩞	igmj · 
𣤶	igml · 
鼀	igmm · 
𩓘	igmm · 
𮙹	igmm · 
𬷚	igmr · 
𧡃	igmw · 
宏	igmx · 宀厶
㝐	igmx · 
𡉞	igmx · 
𡏁	igne · 
𬅲	ignl · 
坰	ignm · 土冂口
𡋙	ignm · 
𡧣	ignm · 
墧	ignn · 
㝯	ignn · 
𡬁	ignn · 
𭔋	ignn · 
𡋎	ignq · 
𭓮	ignq · 
𭏎	ignr · 
𡨳	igny · 
𭏘	igo · 
𮞼	igoo · 
㘵	igp · 
𡬆	igpd · 
𡌙	igpm · 
𭓤	igpm · 
𬩌	igpo · 
𪣺	igpw · 
𭎎	igqg · 
㝭	igr · 
𬷬	igrr · 
㘼	igs · 
𫷟	igsa · 
𢐭	igsq · 
埵	igtf · 土垂
𭀦	igtl · 
𡪰	igtn · 
宎	igto · 
𭎺	igu · 
𫭗	igwf · 
𡑕	igwj · 
𡪟	igwy · 
﨏	igy · 
𫎁	igyn · 
𮟡	igyo · 
㘨	igyw · 
𮌉	igyy · 
𡉪	ihaf · 
𠛩	ihaj · 
𮉇	ihan · 
𭓟	ihao · 
𮈰	ihao · 
堟	ihaq · 
𡩀	ihaq · 
𡍄	ihbf · 
𡩪	ihbg · 
𮈚	ihbn · 
𡨢	ihbo · 
𮈼	ihbp · 
𮉂	ihbu · 
坄	ihbx · 
癹	ihbx · 
𡧔	ihbx · 
𡬂	ihca · 
𮉆	ihcb · 
寷	ihce · 
𮉄	ihch · 
𮉘	ihci · 
𪧰	ihck · 
𮉜	ihck · 
富	ihcm · 宀𠮛田
堛	ihcm · 
𤎪	ihcm · 
𪆠	ihcr · 
𪈮	ihcr · 
𡤨	ihcx · 
𡔘	ihdl · 
𮉙	ihdo · 
𮉛	ihdp · 
𬗬	ihds · 
㔁	ihea · 
𢿤	iheb · 
𭐎	iheb · 
邆	ihee · 
凳	iheh · 癶𠮛䒑几
𮈔	iheh · 
𮉈	iheh · 
登	ihei · 癶𠮛䒑
𧯜	ihei · 
𭎞	ihei · 
㽅	ihej · 
𪤁	ihek · 
𫴜	ihek · 
𮈝	ihek · 
㲪	iheo · 
𭽃	iheo · 
𨒆	ihep · 
𩙄	iheq · 
䳾	iher · 
𧯫	iher · 
𮈕	ihes · 
𣃆	ihet · 
𤼶	iheu · 
覴	ihew · 
鄧	ihew · 
𤼸	ihew · 
𬢔	ihew · 
𮉕	ihew · 
𤼷	ihex · 
墰	ihf · 
𮈣	ihfe · 
𡌋	ihff · 
㙐	ihfk · 
𫳟	ihfk · 
𮈺	ihfl · 
𮈎	ihfm · 
𡨃	ihfo · 
𮉓	ihfo · 
𭎖	ihfp · 
𮉗	ihfs · 
𮈫	ihfv · 
𫭪	ihfw · 
𭀭	ihfw · 
㙎	ihfx · 
𮈘	ihfx · 
𮖊	ihfx · 
𮈇	ihgc · 
𫴠	ihgg · 
𮈌	ihgi · 
𤡎	ihgl · 
𡎅	ihgm · 
𮈆	ihgn · 
𥿠	ihgp · 
塥	ihgr · 土𠮛冂
㙉	ihgw · 
𮈗	ihgx · 
𡕲	ihhb · 
𡏽	ihhd · 
𦒉	ihhd · 
塏	ihhe · 
𬗖	ihhe · 
堿	ihhf · 
寥	ihhk · 宀习习彡
𠓂	ihhk · 
𪤗	ihhk · 土习习彡
𮈪	ihhk · 
𡪹	ihhl · 
𮈲	ihhm · 
𭏵	ihhn · 
𮈹	ihho · 
耀	ihhp · 光习习隹
𡒔	ihhp · 
㙳	ihhu · 
𪧴	ihhw · 
𫅢	ihhx · 
𭎛	ihhx · 
𮉒	ihib · 
𮉃	ihic · 
𬘁	ihid · 
𮈶	ihid · 
堙	ihif · 土覀土
𡌚	ihif · 
𡨠	ihif · 
𡨾	ihif · 
𫮐	ihif · 
𮈃	ihig · 
𡓨	ihii · 
𪢵	ihii · 
𡫈	ihil · 
𭽄	ihil · 
𤎟	ihim · 
𮈽	ihin · 
𥿔	ihio · 
𮉁	ihio · 
𡫚	ihip · 
𫴄	ihis · 
𭏐	ihiw · 
𤬽	ihja · 
𮉍	ihjg · 
𮈷	ihjn · 
𮉀	ihjn · 
𡧧	ihjo · 
𮈤	ihjs · 
𮈮	ihju · 
𮈭	ihkd · 
𡭫	ihkf · 
𫭚	ihkf · 
糸	ihkn · 幺小
𡦾	ihko · 
𮈦	ihlb · 
𮈠	ihli · 
𮈾	ihlu · 
埁	ihlw · 
圸	ihm · 
𬘈	ihmb · 
𮈐	ihmb · 
𮉌	ihmd · 
𮉚	ihmh · 
𡷀	ihml · 
𬘒	ihml · 
𧶐	ihmm · 
𫝠	ihmm · 
𭓞	ihmo · 
𮉋	ihna · 
𮈩	ihnb · 
𪣈	ihnm · 
𮈻	ihnn · 
𫳸	ihnw · 
垛	ihof · 土几木
塛	ihof · 
𭩥	ihof · 
𮈅	ihoo · 
𮣩	ihot · 
𮈯	ihou · 
𮈜	ihow · 
墂	ihp · 
𬗞	ihpa · 
𮈳	ihpb · 
𮉅	ihpe · 
墔	ihpr · 
𠓃	ihpr · 
𮉊	ihpr · 
𮈨	ihpu · 
宂	ihq · 
𮈴	ihqe · 
𮈈	ihqg · 
𮈢	ihqh · 
𭐏	ihqu · 
鴧	ihr · 
𦃭	ihrh · 
𮉎	ihrh · 
𫮞	ihrj · 
𡐧	ihrl · 
𮈸	ihrm · 
𦁠	ihru · 
𮉑	ihrx · 
𮈄	ihs · 
𮍒	iht · 
𮉉	ihte · 
𮈞	ihtj · 
𮈡	ihtl · 
𭓯	ihto · 
𮈙	ihtr · 
垲	ihub · 土山己
𡧚	ihuc · 
𮈊	ihue · 
𮉝	ihue · 
𭬏	ihuo · 
𮈬	ihur · 
𮈱	ihur · 
𭾎	ihus · 
塴	ihuu · 
𮉏	ihve · 
墭	ihvs · 
𪾓	ihvs · 
城	ihvv · 土戊乛乛
宬	ihvv · 宀戊乛
𡦹	ihvv · 
𡖊	ihvv · 
𮈿	ihwd · 
𮈵	ihwe · 
𭎂	ihwf · 
墄	ihwh · 
𮈟	ihwl · 
𡐇	ihwp · 
𮈂	ihwv · 
𡫊	ihwy · 
㙘	ihxc · 土覀女
𮉐	ihxf · 
𫮸	ihxi · 
𭏡	ihxi · 
䢇	ihxk · 
堓	ihxq · 
𫮿	ihxs · 
𮈒	ihxw · 
𮉟	ihxw · 
𪧩	ihxx · 
𮈧	ihxx · 
𮝲	ihxx · 
𡌿	ihy · 
𫻮	iiaa · 
𧎶	iiab · 
畿	iiac · 幺幺戈田
𤳀	iiac · 
𪤻	iiac · 
墶	iiae · 
𡖾	iiaf · 
𡌁	iiai · 
𦍹	iiai · 
刲	iiaj · 
𠛜	iiaj · 
𠛫	iiaj · 
𠜚	iiaj · 
𢨂	iiaj · 
𫯗	iiak · 
卦	iial · 土土卜
𭎉	iial · 
𩴆	iiam · 
𫙌	iiam · 
𣓇	iiao · 
𧗇	iias · 
𧗒	iias · 
卶	iiav · 
𭅶	iiav · 
𤉥	iiax · 
𫷣	iiax · 
𡌪	iibi · 
䖯	iibm · 
𪙓	iibw · 
𡊋	iibx · 
𢆼	iibx · 
𭐶	iibx · 
埌	iicb · 土丶艮
㝗	iicb · 
𢇇	iicc · 
𪤮	iich · 
𡦄	iicj · 
𡏾	iicn · 
𭏧	iico · 
𢇈	iicq · 
𡖮	iics · 
𡖲	iicx · 
𥟿	iicx · 
𠟣	iida · 
𪚝	iida · 
𡪌	iidb · 
𫳄	iidb · 
幾	iidd · 
𭐽	iidd · 
𨗂	iide · 
𡋽	iidg · 
𡨁	iidg · 
𩴪	iidm · 
𧗓	iids · 
